name,birth,start_year,end_year,career,games,타수,득점,안타,이루타,삼루타,홈런,타점,도루,도실,볼넷,사구,삼진,병살,실책,batting_average,birth_month
박종무,1975-03-03T00:00:00Z,1994,1994,1,8,17,2,3,0,0,0,0,3,0,3,0,5,0,0,0.176,3
이요한,1975-03-26T00:00:00Z,1994,1994,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3
심정수,1975-05-05T00:00:00Z,1994,2008,15,1450,5050,859,1451,231,14,328,1029,43,22,777,79,1073,126,33,0.287,5
박지상,1975-05-19T00:00:00Z,1994,1996,3,229,578,71,156,30,3,2,52,14,12,77,7,79,11,10,0.27,5
이도형,1975-05-24T00:00:00Z,1994,2010,15,1155,3154,317,815,142,6,130,519,5,5,243,39,537,99,19,0.258,5
조연제,1975-06-21T00:00:00Z,1994,1994,1,10,9,0,2,0,0,0,1,0,0,3,0,3,0,1,0.222,6
함석원,1975-07-17T00:00:00Z,1994,1998,5,62,64,6,11,3,0,0,5,2,2,2,1,23,0,5,0.172,7
박종호,1975-07-26T00:00:00Z,1994,1994,1,8,11,2,2,0,0,0,2,1,0,0,0,0,0,0,0.182,7
김명호,1975-08-24T00:00:00Z,1994,1994,1,8,15,0,2,0,0,0,1,0,0,0,0,4,0,0,0.133,8
김재현,1975-10-02T00:00:00Z,1994,2010,16,1770,5710,884,1681,310,20,201,939,115,65,929,133,931,137,24,0.294,10
마해영,1970-08-14T00:00:00Z,1995,2008,14,1501,5482,850,1609,298,20,260,1003,46,32,587,119,931,157,54,0.294,8
김영일,1971-03-14T00:00:00Z,1995,1998,4,156,294,30,63,9,2,0,19,9,7,17,8,43,8,1,0.214,3
박종일,1972-03-09T00:00:00Z,1995,2001,6,447,453,64,96,15,2,4,45,19,10,43,5,102,10,3,0.212,3
김병철,1972-04-01T00:00:00Z,1995,1997,2,23,36,4,9,2,0,0,3,0,2,2,0,4,1,0,0.25,4
이보형,1972-04-06T00:00:00Z,1995,1997,3,77,115,8,18,6,1,2,13,3,1,13,2,39,3,2,0.157,4
차상욱,1972-04-07T00:00:00Z,1995,1996,2,87,89,9,15,1,1,0,5,7,3,10,2,20,2,1,0.169,4
김영진,1972-04-09T00:00:00Z,1995,2001,6,406,714,47,111,22,3,5,45,3,6,49,10,171,15,26,0.155,4
서석영,1972-04-30T00:00:00Z,1995,1996,2,4,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
하상도,1972-06-07T00:00:00Z,1995,1995,1,27,10,4,1,0,0,0,0,1,0,1,0,3,0,0,0.1,6
강인권,1972-06-26T00:00:00Z,1995,2006,12,710,1252,114,305,41,2,8,119,7,12,160,35,264,20,42,0.244,6
김재걸,1972-09-07T00:00:00Z,1995,2009,13,1125,2128,271,490,72,13,14,170,119,54,182,33,501,46,97,0.23,9
박현승,1972-09-12T00:00:00Z,1995,2008,13,1167,3634,503,962,167,18,62,399,98,43,414,64,644,87,98,0.265,9
남상규,1972-10-09T00:00:00Z,1995,1995,1,5,7,1,1,0,0,1,1,0,0,1,0,2,0,1,0.143,10
심재학,1972-10-18T00:00:00Z,1995,2008,14,1247,3704,539,995,193,14,149,622,25,23,617,69,558,69,47,0.269,10
신국환,1972-10-29T00:00:00Z,1995,2002,8,469,1171,169,301,59,4,23,160,19,14,69,42,179,41,52,0.257,10
김옥일,1972-11-14T00:00:00Z,1995,1996,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11
도명진,1972-12-24T00:00:00Z,1995,1995,1,13,21,2,6,1,0,1,4,0,0,2,0,5,1,0,0.286,12
추평호,1973-02-08T00:00:00Z,1995,1997,2,8,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2
안상준,1973-02-13T00:00:00Z,1995,2007,13,509,1189,133,283,40,7,13,111,15,5,94,12,240,35,50,0.238,2
심성보,1973-02-16T00:00:00Z,1995,2003,9,758,2126,258,547,111,16,63,321,33,23,179,18,400,39,30,0.257,2
이동우,1975-04-20T00:00:00Z,1995,1995,1,4,9,0,1,0,0,0,0,0,0,0,0,4,0,1,0.111,4
최희창,1975-06-13T00:00:00Z,1995,1998,4,36,47,2,8,1,0,1,3,0,0,4,1,19,0,1,0.17,6
